id,manufacturer,dtc,description
1,buick,P1031,HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1
2,buick,P1032,HO2S Heater Warm Up Control Circuit Banks 1 and 2 Sensor 1
3,buick,P1105,Secondary Vacuum Sensor Circuit
4,buick,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
5,buick,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
6,buick,P1108,BARO to MAP Sensor Comparison Too High
7,buick,P1109,Secondary Port Throttle System
8,buick,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
9,buick,P1112,Intake Air Temperature (IAT) Sensor Circuit IntermittentLow Voltage
10,buick,P1113,Intake Resonance Switchover Solenoid Control Circuit
11,buick,P1114,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent Low Voltage
12,buick,P1115,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent High Voltage
13,buick,P1116,ECT Signal Unstable or Intermittent
14,buick,P1117,Engine Coolant Temp. Signal Out-Of-Range Low
15,buick,P1118,Engine Coolant Temp. Signal Out-Of-Range High
16,buick,P1119,ECT Signal Out-Of-Range With TFT Sensor
17,buick,P1120,Throttle Position (TP) Sensor 1 Circuit
18,buick,P1121,Throttle Position (TP) Sensor Circuit Intermittent HighVoltage
19,buick,P1122,Throttle Position (TP) Sensor Circuit Intermittent LowVoltage
20,buick,P1125,APP System
21,buick,P1130,HO2S Circuit Low Variance Bank 1 Sensor 1
22,buick,P1131,HO2S Circuit Low Variance Bank 1 Sensor 2
23,buick,P1132,HO2S Circuit Low Variance Bank 2 Sensor 1
24,buick,P1133,HO2S Insufficient Switching Bank 1 Sensor 1
25,buick,P1134,HO2S Transition Time Ratio Bank 1 Sensor 1
26,buick,P1135,HO2S Lean Mean Bank 1 Sensor 1
27,buick,P1136,HO2S Rich Mean Bank 1 Sensor 1
28,buick,P1137,HO2S Bank 1 Sensor 2 Lean System or Low Voltage
29,buick,P1138,HO2S Bank 1 Sensor 2 Rich or High Voltage
30,buick,P1139,HO2S Insuff. Switching Bank 1 Sensor 2
31,buick,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
32,buick,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
33,buick,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
34,buick,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
35,buick,P1145,HO2S Cross Counts Bank 1 Sensor 3
36,buick,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
37,buick,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
38,buick,P1155,HO2S Lean Mean Bank 2 Sensor 1
39,buick,P1156,HO2S Rich Mean Bank 2 Sensor 1
40,buick,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
41,buick,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
42,buick,P1159,HO2S Cross Counts Bank 2 Sensor 2
43,buick,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
44,buick,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
45,buick,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
46,buick,P1165,HO2S Cross Counts Bank 2 Sensor 3
47,buick,P1170,Bank to Bank Fuel TrimOffset
48,buick,P1171,Fuel System Lean During Acceleration
49,buick,P1185,Engine Oil Temperature Circuit
50,buick,P1186,EOT Circuit Performance
51,buick,P1187,EOT Sensor Ckt. Low Voltage
52,buick,P1188,EOT Sensor Ckt. High Voltage
53,buick,P1189,Engine Oil Pressure (EOP) Switch Circuit
54,buick,P1190,Engine Vacuum Leak
55,buick,P1191,Intake Air Duct Air Leak
56,buick,P1200,Injector Control Circuit
57,buick,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
58,buick,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
59,buick,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
60,buick,P1211,Mass Air Flow Circuit Intermittent High
61,buick,P1212,Mass Air Flow Circuit Intermittent Low
62,buick,P1214,Injection Pump Timing Offset
63,buick,P1215,Ground Fault Detection Indicated
64,buick,P1216,Fuel Solenoid Response Time Too Short
65,buick,P1217,Fuel Solenoid Response Time Too Long
66,buick,P1218,Injection Pump Calibration Circuit
67,buick,P1219,Throttle Position Sensor Reference Voltage
68,buick,P1220,Throttle Position (TP) Sensor 2 Circuit
69,buick,P1221,Fuel Pump Secondary Circuit Low
70,buick,P1222,Injector Control Circuit Intermittent
71,buick,P1225,Injector Circuit Cylinder 2 Intermittent
72,buick,P1228,Injector Circuit Cylinder 3 Intermittent
73,buick,P1231,Injector Circuit Cylinder 4 Intermittent
74,buick,P1234,Injector Circuit Cylinder 5 Intermittent
75,buick,P1237,Injector Circuit Cylinder 6 Intermittent
76,buick,P1240,Injector Circuit Cylinder 7 Intermittent
77,buick,P1243,Injector Circuit Cylinder 8 Intermittent
78,buick,P1245,Intake Plenum Switchover Valve
79,buick,P1250,Early Fuel Evaporation Heater Circuit
80,buick,P1257,Supercharger System Overboost
81,buick,P1258,Engine Coolant Overtemperature - Protection Mode Active
82,buick,P1260,Last Test Failed Failed SCC ENTER:More Info.
83,buick,P1270,Accelerator Pedal Position Sensor A/D Converter Error
84,buick,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
85,buick,P1272,Accelerator Pedal Position Sensor 2
86,buick,P1273,Accelerator Pedal Position Sensor 1
87,buick,P1274,Injectors Wired Incorrectly
88,buick,P1275,Accelerator Pedal Position (APP) Sensor 1 Circuit
89,buick,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
90,buick,P1277,Accelerator Pedal Position Sensor 1 Circuit Low Voltage
91,buick,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
92,buick,P1280,Accelerator Pedal Position (APP) Sensor 2 Circuit
93,buick,P1281,Accelerator Pedal Position Sensor 2 Circuit Performance
94,buick,P1282,Accelerator Pedal Position Sensor 2 Circuit Low Voltage
95,buick,P1283,Accelerator Pedal Position Sensor 2 Circuit High Voltage
96,buick,P1285,Accelerator Pedal Position Sensor 3 Circuit
97,buick,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
98,buick,P1287,Accelerator Pedal Position Sensor 3 Circuit Low Voltage
99,buick,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
100,buick,P1300,Ignitor Circuit
101,buick,P1305,Ignition Coil 2 Primary Feedback Circuit
102,buick,P1310,Ignition Coil 3 Primary Feedback Circuit
103,buick,P1315,Ignition Coil 4 Primary Feedback Circuit
104,buick,P1320,IC 4X Reference Circuit Intermittent
105,buick,P1321,Electronic Ignition System Fault Line
106,buick,P1322,EI System or Ignition Control Extra or Missing
107,buick,P1323,IC 24X Reference Circuit Low Frequency
108,buick,P1324,Crank RPM Too Low
109,buick,P1335,CKP Circuit
110,buick,P1336,Crankshaft Position (CKP) System Variation Not Learned
111,buick,P1345,Crankshaft Position (CKP)-Camshaft Position (CMP) Correlation
112,buick,P1346,Intake Camshaft Position [CMP] Sensor System Performance
113,buick,P1350,Ignition Control System
114,buick,P1351,Ignition Coil Control Circuit High Voltage
115,buick,P1352,IC Output High/Pulse Detected when GND_Cyl. 2
116,buick,P1353,IC Output High/Pulse Detected when GND_Cyl. 3
117,buick,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
118,buick,P1355,IC Output High/Pulse Detected when GND_Cyl. 5
119,buick,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
120,buick,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
121,buick,P1358,IC Output High/Pulse Detected when GND_Cyl. 8
122,buick,P1359,Ignition Coil Group 1 Control Circuit
123,buick,P1360,Ignition Coil Group 2 Control Circuit
124,buick,P1361,Ignition Coil Control Circuit Low Voltage
125,buick,P1362,IC Cylinder 2 Not Toggling After Enable
126,buick,P1363,IC Cylinder 3 Not Toggling After Enable
127,buick,P1364,IC Cylinder 4 Not Toggling After Enable
128,buick,P1365,IC Cylinder 5 Not Toggling After Enable
129,buick,P1366,IC Cylinder 6 Not Toggling After Enable
130,buick,P1367,IC Cylinder 7 Not Toggling After Enable
131,buick,P1368,IC Cylinder 8 Not Toggling After Enable
132,buick,P1370,IC 4X Reference Circuit Too Many Pulses
133,buick,P1371,IC 4X Reference Circuit Too Few Pulses
134,buick,P1372,Crankshaft Position (CKP) Sensor A-B Correlation
135,buick,P1374,3X Reference Circuit
136,buick,P1375,IC 24X Reference Circuit High Voltage
137,buick,P1376,Ignition Ground Circuit
138,buick,P1377,IC Cam Pulse To 4X Reference Pulse
139,buick,P1380,Misfire Detected - Rough Road Data Not Available
140,buick,P1381,Misfire Detected - No Communication with Brake ControlModule
141,buick,P1390,Wheel Speed Sensor 1 - G - Sensor Circuit
142,buick,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
143,buick,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
144,buick,P1393,Wheel Speed Sensor 1 - G - Sensor Circuit High Voltage
145,buick,P1394,Wheel Speed Sensor 1 - G - Sensor Circuit Intermittent
146,buick,P1395,Wheel Speed Sensor 2 - G - Sensor Circuit
147,buick,P1396,Wheel Speed Sensor 2 - G - Sensor Circuit Performance
148,buick,P1397,Wheel Speed Sensor 2 - G - Sensor Circuit Low Voltage
149,buick,P1398,Wheel Speed Sensor 2 - G - Sensor Circuit High Voltage
150,buick,P1399,Wheel Speed Sensor 2 - G - Sensor Circuit Intermittent
151,buick,P1403,Exhaust Gas Recirculation System Valve 1
152,buick,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
153,buick,P1405,Exhaust Gas Recirculation System Valve 3
154,buick,P1406,EGR Valve Pintle Position Circuit
155,buick,P1407,EGR Air Intrusion in Exhaust Supply to EGR Valve
156,buick,P1408,Intake Manifold Pressure Sensor Circuit
157,buick,P1409,EGR Vacuum System Leak
158,buick,P1410,Fuel Tank Pressure System
159,buick,P1415,Secondary Air Injection (AIR) System Bank 1
160,buick,P1416,Secondary Air Injection (AIR) System Bank 2
161,buick,P1418,Secondary Air Injection System Relay A Control CircuitHigh
162,buick,P1420,Intake Air Low Pressure Switch Circuit Low Voltage
163,buick,P1421,Intake Air Low Pressure Switch Circuit High Voltage
164,buick,P1423,Intake Air High Pressure Switch Circuit High Voltage
165,buick,P1431,Fuel Level Sensor 2 Circuit Performance
166,buick,P1432,Fuel Level Sensor 2 Circuit Low Voltage
167,buick,P1433,Fuel Level Sensor 2 Circuit High Voltage
168,buick,P1441,Evaporative Emission (EVAP) System Flow During Non-Purge
169,buick,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
170,buick,P1450,Barometric Pressure Sensor Circuit
171,buick,P1451,Barometric Press. Sensor Performance
172,buick,P1480,Cooling Fan 1 Control Circuit High
173,buick,P1483,Engine Cooling System Performance
174,buick,P1500,Starter Signal Circuit
175,buick,P1502,Theft Deterrent Fuel Enable Signal Not Received
176,buick,P1503,Theft Deterrent Fuel Enable Signal Not Correct
177,buick,P1504,Vehicle Speed Output Circuit
178,buick,P1508,Idle Speed Low - Idle Air Control (IAC) System NotResponding
179,buick,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
180,buick,P1510,Throttle Control System Performance - Throttle LimitationActive
181,buick,P1511,Throttle Control System - Backup System Performance
182,buick,P1514,Airflow to TP Sensor Correlation High
183,buick,P1515,Electronic Throttle System Throttle Position
184,buick,P1516,Throttle Actuator Control (TAC) Module Throttle ActuatorPosition Performance
185,buick,P1517,Electronic Throttle Module
186,buick,P1518,Electronic Throttle Module to PCM Communication
187,buick,P1519,Throttle Actuator Control (TAC) Module Internal Circuit
188,buick,P1520,Transmission Range Switch Circuit
189,buick,P1521,Transmission Engaged at High Throttle Angle
190,buick,P1522,Park/Neutral to Drive/Reverse at High RPM
191,buick,P1523,Throttle Closed Position Performance
192,buick,P1524,Throttle Closed Position Performance
193,buick,P1525,Throttle Body ServiceRequired
194,buick,P1526,Minimum Throttle Position Not Learned
195,buick,P1527,Transmission Range to Pressure Switch Correlation
196,buick,P1528,Governor
197,buick,P1529,Heated Windshield Request Problem
198,buick,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
199,buick,P1531,A/C Low Side Temperature Sensor Fault
200,buick,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
201,buick,P1533,A/C Evaporator Temp. Sens. Ckt. High Voltage
202,buick,P1534,A/C High Side Temp. Sensor Low Voltage
203,buick,P1535,A/C High Side Temperature Sensor Circuit
204,buick,P1536,Engine Coolant Overtemperature - Air Conditioning (A/C)Disabled
205,buick,P1537,A/C Request Circuit Low Voltage
206,buick,P1538,A/C Request Circuit High Voltage
207,buick,P1539,A/C Clutch Status Circuit High Voltage
208,buick,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
209,buick,P1541,A/C High Side Over Temperature
210,buick,P1542,A/C System High Pressure High Temperature
211,buick,P1543,A/C System Performance
212,buick,P1544,A/C Refrigerant Condition Very Low
213,buick,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
214,buick,P1546,A/C Clutch Status Circuit Low Voltage
215,buick,P1547,A/C System Performance Degraded
216,buick,P1548,A/C Recirculation Circuit
217,buick,P1554,Cruise Control Feedback Circuit
218,buick,P1555,Electronic Variable Orifice Output
219,buick,P1558,Cruise Control Servo Indicates Low
220,buick,P1559,Cruise Control Power Management Mode
221,buick,P1560,Transaxle Not in Drive - Cruise Control Disabled
222,buick,P1561,Cruise Vent Solenoid
223,buick,P1562,Cruise Vacuum Solenoid
224,buick,P1563,Cruise Vehicle Speed/Set Speed Difference Too High
225,buick,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
226,buick,P1565,Cruise Servo Position Sensor
227,buick,P1566,Engine RPM Too High - Cruise Control Disabled
228,buick,P1567,Active Banking Control Active - Cruise Control Disabled
229,buick,P1568,Cruise Servo Stroke Greater than Commanded in Cruise
230,buick,P1569,Cruise Servo Stroke High While not in Cruise
231,buick,P1570,Traction Control Active - Cruise Control Disabled
232,buick,P1571,Traction Control Torque Request Circuit
233,buick,P1572,ASR Active Circuit Low Too Long
234,buick,P1573,PCM/EBTCM Serial Data Circuit
235,buick,P1574,Stoplamp Switch Circuit
236,buick,P1575,Extended Travel Brake Switch Circuit
237,buick,P1576,BBV Sensor Ckt. High Voltage
238,buick,P1577,BBV Sensor Ckt. Low Voltage
239,buick,P1578,BBV Sensor Ckt. Low Vacuum
240,buick,P1579,P/N to D/R at High Throttle Angle - Power Reduction ModeActive
241,buick,P1580,Cruise Move Circuit Low Voltage
242,buick,P1581,Cruise Move Circuit High Voltage
243,buick,P1582,Cruise Direction Circuit Low Voltage
244,buick,P1583,Cruise Direction CircuitHigh Voltage
245,buick,P1584,Cruise Control Disabled
246,buick,P1585,Cruise Control Inhibit Output Circuit
247,buick,P1586,Cruise Control Brake Switch 2 Circuit
248,buick,P1587,Cruise Control Clutch Control Circuit Low
249,buick,P1588,Cruise Control Clutch Control Circuit High
250,buick,P1599,Engine Stall or Near Stall Detected
251,buick,P1600,TCM Internal Watchdog Operation
252,buick,P1601,Serial Comm. Problem With Device 1
253,buick,P1602,Knock Sensor (KS) Module Performance
254,buick,P1603,Loss of SDM Serial Data
255,buick,P1604,Loss of IPC Serial Data
256,buick,P1605,Loss of HVAC Serial Data
257,buick,P1606,Serial Communication Problem With Device 6
258,buick,P1607,Serial Communication Problem With Device 7
259,buick,P1608,Serial Communication Problem With Device 8
260,buick,P1609,Loss Of TCS Serial Data
261,buick,P1610,Loss of PZM Serial Data
262,buick,P1611,Loss of CVRTD Serial Data
263,buick,P1612,Loss of IPM Serial Data
264,buick,P1613,Loss of DIM Serial Data
265,buick,P1614,Loss of RIM Serial Data
266,buick,P1615,Loss of VTD Serial Data
267,buick,P1617,Engine Oil Level Switch Circuit
268,buick,P1619,Engine Oil Life Monitor Reset Circuit
269,buick,P1620,Low Coolant Circuit
270,buick,P1621,Control Module Long Term Memory Performance
271,buick,P1622,Cylinder Select
272,buick,P1623,Transmission Temp Pull-Up Resistor
273,buick,P1624,Customer Snapshot Requested - Data Available
274,buick,P1625,TCM System Reset
275,buick,P1626,Theft Deterrent Fuel Enable Signal Not Received
276,buick,P1627,A/D Performance
277,buick,P1628,ECT Pull-Up Resistor
278,buick,P1629,Theft Deterrent System - Cranking Signal
279,buick,P1630,Theft Deterrent Learn Mode Active
280,buick,P1631,Theft Deterrent Start Enable Signal Not Correct
281,buick,P1632,Theft Deterrent Fuel Disable Signal Received
282,buick,P1633,Ignition 0 Switch Circuit
283,buick,P1634,Ignition 1 Switch Circuit
284,buick,P1635,5 Volt Reference Circuit
285,buick,P1636,PCM Stack Overrun
286,buick,P1637,Generator L-Terminal Circuit
287,buick,P1638,Generator F-Terminal Circuit
288,buick,P1639,5 Volt Reference 2 Circuit
289,buick,P1640,Driver-1-Input High Voltage
290,buick,P1641,Malfunction Indicator Lamp (MIL) Control Circuit
291,buick,P1642,Vehicle Speed Output Circuit
292,buick,P1643,Engine Speed Output Circuit
293,buick,P1644,Traction Control Delivered Torque Output Circuit
294,buick,P1645,Evaporative Emission (EVAP) Vent Solenoid Contorl Circuit
295,buick,P1646,Evaporative Emission (EVAP) Vent Solenoid Control Circuit
296,buick,P1647,Driver 1 Line 7
297,buick,P1650,Control Module Output B Circuit
298,buick,P1651,Fan 1 Relay Control Circuit
299,buick,P1652,Powertrain Induced Chassis Pitch Output Circuit
300,buick,P1653,Oil Level Lamp Control Circuit
301,buick,P1654,Cruise Control Inhibit Output Circuit
302,buick,P1655,EVAP Purge Solenoid Control Circuit
303,buick,P1656,Driver 2 Line 6
304,buick,P1657,1-4 Upshift Solenoid Control Circuit
305,buick,P1658,Starter Enable Relay Control Circuit
306,buick,P1660,Cooling Fan Control Circuits
307,buick,P1661,MIL Control Circuit
308,buick,P1662,Cruise Lamp Control Circuit
309,buick,P1663,Oil Life Lamp Control Circuit
310,buick,P1664,1-4 Upshift Lamp Control Circuit
311,buick,P1665,Driver 3 Line 5
312,buick,P1666,Driver 3 Line 6
313,buick,P1667,Reverse Inhibit Solenoid Control Circuit
314,buick,P1669,ABS Unit Expected
315,buick,P1670,Driver 4
316,buick,P1671,Driver 4 Line 1
317,buick,P1672,Low Engine Oil Level Lamp Control Circuit
318,buick,P1673,Engine Hot Lamp Control Circuit
319,buick,P1674,Tachometer Control Circuit
320,buick,P1675,EVAP Vent Solenoid Control Circuit
